Feature,Importance
numeric__technical_score,0.19614623762747013
numeric__interview_average,0.07612408226575686
numeric__skills_match_percentage,0.06385929461916942
numeric__years_of_experience,0.056788205272337515
numeric__expected_ctc_lpa,0.054941882673391375
numeric__previous_ctc_lpa,0.03598070010275854
numeric__aptitude_score,0.03171168353036926
categorical__experience_category_Senior,0.030940649144706952
numeric__communication_score,0.029838099549095068
categorical__experience_category_Fresher,0.02766311724601921
numeric__hsc_percentage,0.023466808632878734
numeric__degree_percentage,0.023179564517179202
numeric__ssc_percentage,0.02303763348004648
numeric__academic_average,0.022535018878585392
categorical__job_role_match_Matched,0.02216376498578409
categorical__job_role_match_Not Matched,0.02154815062722622
categorical__interview_performance_category_Low,0.019585877839624004
numeric__age_years,0.016472640669405365
categorical__internship_experience_Yes,0.01479469580193257
categorical__skills_match_level_Low,0.013567042670728186
categorical__internship_experience_No,0.012982477437264913
numeric__employment_gap_months,0.012550020616497657
numeric__notice_period_days,0.011216893971907447
categorical__interview_performance_category_Medium,0.010487372074416305
numeric__certifications_count,0.010214941901713095
categorical__experience_category_Junior,0.010035112095754683
categorical__relevant_experience_Not Relevant,0.008597332756155493
categorical__layoff_history_No,0.008485949350809567
categorical__relevant_experience_Relevant,0.0079428177297795
categorical__skills_match_level_High,0.0077047216847290325
categorical__layoff_history_Yes,0.007491298293720652
categorical__competition_level_High,0.006045556006022029
categorical__bond_requirement_Required,0.005077124141451548
categorical__bond_requirement_Not Required,0.005015489187897547
categorical__skills_match_level_Medium,0.004645669233321828
categorical__career_switch_willingness_Willing,0.0044536716095055886
categorical__relocation_willingness_Not Willing,0.004333850943167241
categorical__relocation_willingness_Willing,0.004288517529710303
categorical__career_switch_willingness_Not Willing,0.004189780090745403
categorical__competition_level_Medium,0.004118359385981114
categorical__competition_level_Low,0.0039407998368399975
categorical__company_tier_Tier 1,0.0038854915071487284
categorical__company_tier_Tier 2,0.0038521483140399044
categorical__gender_Female,0.0037144063533891374
categorical__gender_Male,0.0036957714128211345
categorical__company_tier_Tier 3,0.003448112963097584
categorical__degree_specialization_Electronics,0.0034263926363930085
categorical__degree_specialization_Mechanical,0.0034148360868287535
categorical__degree_specialization_Information Technology,0.003316376174595271
categorical__degree_specialization_Others,0.0033150741384016576
categorical__degree_specialization_Computer Science,0.0032922120187018197
categorical__academic_performance_band_Medium,0.0025220752570739185
categorical__academic_performance_band_High,0.0024864977806731774
categorical__interview_performance_category_High,0.0013273264863517646
categorical__academic_performance_band_Low,0.00014037285862843177
